Ano;Sigla;IGC (Contínuo);IGC (Faixa)
2021;FURG;3089183416;4
2021;FURG;3722787753;4
2021;FURG;3506472556;4
2021;FURG;3273782929;4
2021;FURG;3234727942;4
2021;FURG;3225937454;4
2021;FURG;3941658713;4
2021;FURG;3729463207;4
2021;FURG;4123139024;5
2021;FURG;2960656557;4
2021;FURG;2403153013;3
2021;FURG;3126550894;4
2021;FURG;2339542225;3
2021;FURG;2695885804;3
2021;FURG;306536013;4
2021;FURG;3377704888;4
2021;FURG;3549260646;4
2021;FURG;2825584097;3
2021;FURG;4058092028;5
2021;FURG;3324683138;4
2021;FURG;2923411951;3
2021;FURG;3042680337;4
2021;FURG;3612885813;4
2021;FURG;3512507192;4
2021;FURG;2835568588;3
2021;FURG;2622672816;3
2021;FURG;2492294448;3
2021;FURG;;
2021;FURG;2536784039;3
2021;FURG;3506946459;4
2021;FURG;4081073545;5
2021;FURG;400329495;5
2021;FURG;2688384493;3
2021;FURG;293390235;3
2021;FURG;2988914465;4
2021;FURG;3553983939;4
2021;FURG;3883235013;4
2021;FURG;334620836;4
2021;FURG;2940779387;3
2021;FURG;2887219177;3
2021;FURG;2210827218;3
2021;FURG;2661805133;3
2021;FURG;3997807128;5
2021;FURG;2732657196;3
2021;FURG;3291531494;4
2021;FURG;336759351;4
2021;FURG;2641762914;3
2021;FURG;3573005406;4
2021;FURG;3102641944;4
2021;FURG;405079264;5
2021;FURG;3441288643;4
2021;FURG;3048186625;4
2021;FURG;3620471285;4
2021;FURG;3576490485;4
2021;FURG;4300489861;5
2021;FURG;3266043925;4
2021;FURG;2496716327;3
2021;FURG;3222894241;4
2021;FURG;3307692363;4
2021;FURG;3491957869;4
2021;FURG;3278240164;4
2021;FURG;3508512042;4
2021;FURG;3512451573;4
2021;FURG;2837679013;3
2021;FURG;3509478483;4
2021;FURG;2849506487;3
2021;FURG;3292811579;4
2021;FURG;2927776053;3
2021;FURG;2890119389;3
2021;FURG;2965590173;4
2021;FURG;414065135;5
2021;FURG;3831764174;4
2021;FURG;2328300919;3
2021;FURG;3390293399;4
2021;FURG;3335696579;4
2021;IF FARROUPILHA;3114109;4
2021;IF FARROUPILHA;3576490485;4
2021;IF FARROUPILHA;3553983939;4
2021;IF FARROUPILHA;3335696579;4
2021;IF FARROUPILHA;3377704888;4
2021;IF FARROUPILHA;2430536858;3
2021;IF FARROUPILHA;336759351;4
2021;IF FARROUPILHA;3941658713;4
2021;IF FARROUPILHA;2845015305;3
2021;IF FARROUPILHA;3997807128;5
2021;IF FARROUPILHA;3512451573;4
2021;IF FARROUPILHA;4081073545;5
2021;IF FARROUPILHA;405079264;5
2021;IF FARROUPILHA;2850843609;3
2021;IF FARROUPILHA;3883235013;4
2021;IF FARROUPILHA;2923411951;3
2021;IF FARROUPILHA;4058092028;5
2021;IF FARROUPILHA;4027566597;5
2021;IF FARROUPILHA;306536013;4
2021;IF FARROUPILHA;3373048788;4
2021;IF FARROUPILHA;3089183416;4
2021;IF FARROUPILHA;4076238557;5
2021;IF FARROUPILHA;3042680337;4
2021;IF FARROUPILHA;3509478483;4
2021;IF FARROUPILHA;335249821;4
2021;IF FARROUPILHA;3612885813;4
2021;IF FARROUPILHA;2210827218;3
2021;IF FARROUPILHA;2245888744;3
2021;IF FARROUPILHA;400329495;5
2021;IF FARROUPILHA;414065135;5
2021;IF FARROUPILHA;2960656557;4
2021;IF FARROUPILHA;4123139024;5
2021;IF FARROUPILHA;3017890085;4
2021;IF FARROUPILHA;3491957869;4
2021;IF FARROUPILHA;2328300919;3
2021;IF FARROUPILHA;356986275;4
2021;IF FARROUPILHA;3506946459;4
2021;IF FARROUPILHA;4302484121;5
2021;IF FARROUPILHA;3236517674;4
2021;IF FARROUPILHA;2641762914;3
2021;IF FARROUPILHA;3506472556;4
2021;IF FARROUPILHA;3906819271;4
2021;IF FARROUPILHA;2837679013;3
2021;IF FARROUPILHA;3189843941;4
2021;IF FARROUPILHA;3490974306;4
2021;IF FARROUPILHA;3126550894;4
2021;IF FARROUPILHA;2695885804;3
2021;IF FARROUPILHA;3620471285;4
2021;IF FARROUPILHA;3278240164;4
2021;IF FARROUPILHA;3225937454;4
2021;IF FARROUPILHA;3307692363;4
2021;IF FARROUPILHA;3508512042;4
2021;IF FARROUPILHA;3729463207;4
2021;IF FARROUPILHA;3222894241;4
2021;IF FARROUPILHA;2688384493;3
2021;IF FARROUPILHA;3102641944;4
2021;IF FARROUPILHA;2856866334;3
2021;IF FARROUPILHA;3292811579;4
2021;IF FARROUPILHA;3273782929;4
2021;IF FARROUPILHA;4300489861;5
2021;IF FARROUPILHA;3324683138;4
2021;IF FARROUPILHA;3048186625;4
2021;IF FARROUPILHA;3234727942;4
2021;IF FARROUPILHA;3441288643;4
2021;IF FARROUPILHA;2863039275;3
2021;IF FARROUPILHA;2965590173;4
2021;IF FARROUPILHA;2661805133;3
2021;IF FARROUPILHA;3390293399;4
2021;IF FARROUPILHA;4165353459;5
2021;IF FARROUPILHA;2849506487;3
2021;IF FARROUPILHA;2927776053;3
2021;IF FARROUPILHA;313265412;4
2021;IF FARROUPILHA;3708137018;4
2021;IF FARROUPILHA;2997071468;4
2021;IF FARROUPILHA;334620836;4
2021;IF FARROUPILHA;3027673073;4
2021;IF FARROUPILHA;2890119389;3
2021;IF FARROUPILHA;3573005406;4
2021;IF FARROUPILHA;2887219177;3
2021;IF FARROUPILHA;2496716327;3
2021;IF FARROUPILHA;3831764174;4
2021;IF FARROUPILHA;3266043925;4
2021;IF FARROUPILHA;3512507192;4
2021;IF FARROUPILHA;2940779387;3
2021;IF FARROUPILHA;2988914465;4
2021;IF FARROUPILHA;293390235;3
2021;IF FARROUPILHA;3488239617;4
2021;IF FARROUPILHA;3324348627;4
2021;IF FARROUPILHA;2492294448;3
2021;IF FARROUPILHA;2403153013;3
2021;IF FARROUPILHA;3291531494;4
2021;IF FARROUPILHA;2536784039;3
2021;IF FARROUPILHA;2849209604;3
2021;IF FARROUPILHA;2732657196;3
2021;IF FARROUPILHA;3549260646;4
2021;IF FARROUPILHA;2339542225;3
2021;IF FARROUPILHA;3846247682;4
2021;IF FARROUPILHA;3611112844;4
2021;IF FARROUPILHA;3722787753;4
2021;IF FARROUPILHA;2825584097;3
2021;IF FARROUPILHA;2835568588;3
2021;IF FARROUPILHA;3051728893;4
2021;IF FARROUPILHA;2622672816;3
2021;IF FARROUPILHA;;
2021;IFAC;2960656557;4
2021;IFAC;3324683138;4
2021;IFAC;3042680337;4
2021;IFAC;2403153013;3
2021;IFAC;3373048788;4
2021;IFAC;3490974306;4
2021;IFAC;3553983939;4
2021;IFAC;336759351;4
2021;IFAC;3222894241;4
2021;IFAC;4076238557;5
2021;IFAC;2825584097;3
2021;IFAC;2923411951;3
2021;IFAC;3491957869;4
2021;IFAC;3377704888;4
2021;IFAC;3335696579;4
2021;IFAC;2940779387;3
2021;IFAC;2845015305;3
2021;IFAC;3508512042;4
2021;IFAC;3027673073;4
2021;IFAC;3831764174;4
2021;IFAC;2328300919;3
2021;IFAC;334620836;4
2021;IFAC;356986275;4
2021;IFAC;2339542225;3
2021;IFAC;3488239617;4
2021;IFAC;3941658713;4
2021;IFAC;3114109;4
2021;IFAC;3611112844;4
2021;IFAC;3291531494;4
2021;IFAC;2661805133;3
2021;IFAC;3307692363;4
2021;IFAC;3906819271;4
2021;IFAC;2890119389;3
2021;IFAC;4058092028;5
2021;IFAC;306536013;4
2021;IFAC;405079264;5
2021;IFAC;2732657196;3
2021;IFAC;2849506487;3
2021;IFAC;2536784039;3
2021;IFAC;3612885813;4
2021;IFAC;2837679013;3
2021;IFAC;293390235;3
2021;IFAC;3846247682;4
2021;IFAC;2210827218;3
2021;IFAC;3997807128;5
2021;IFAC;2622672816;3
2021;IFAC;2856866334;3
2021;IFAC;2863039275;3
2021;IFAC;2887219177;3
2021;IFAC;3722787753;4
2021;IFAC;3729463207;4
2021;IFAC;3512451573;4
2021;IFAC;2850843609;3
2021;IFAC;3883235013;4
2021;IFAC;3509478483;4
2021;IFAC;3089183416;4
2021;IFAC;2641762914;3
2021;IFAC;3051728893;4
2021;IFAC;2430536858;3
2021;IFAC;2245888744;3
2021;IFAC;335249821;4
2021;IFAC;4123139024;5
2021;IFAC;2997071468;4
2021;IFAC;3102641944;4
2021;IFAC;3126550894;4
2021;IFAC;4302484121;5
2021;IFAC;313265412;4
2021;IFAC;2835568588;3
2021;IFAC;3708137018;4
2021;IFAC;3506472556;4
2021;IFAC;3441288643;4
2021;IFAC;3292811579;4
2021;IFAC;3506946459;4
2021;IFAC;2492294448;3
2021;IFAC;3324348627;4
2021;IFAC;3278240164;4
2021;IFAC;2496716327;3
2021;IFAC;400329495;5
2021;IFAC;4165353459;5
2021;IFAC;3236517674;4
2021;IFAC;3273782929;4
2021;IFAC;3573005406;4
2021;IFAC;4081073545;5
2021;IFAC;;
2021;IFAC;3225937454;4
2021;IFAC;2988914465;4
2021;IFAC;2695885804;3
2021;IFAC;3512507192;4
2021;IFAC;3620471285;4
2021;IFAC;3234727942;4
2021;IFAC;414065135;5
2021;IFAC;3390293399;4
2021;IFAC;2965590173;4
2021;IFAC;4300489861;5
2021;IFAC;3048186625;4
2021;IFAC;3576490485;4
2021;IFAC;3017890085;4
2021;IFAC;2927776053;3
2021;IFAC;4027566597;5
2021;IFAC;3549260646;4
2021;IFAC;3266043925;4
2021;IFAC;2849209604;3
2021;IFAC;2688384493;3
2021;IFAC;3189843941;4
2021;IFAL;2339542225;3
2021;IFAL;3846247682;4
2021;IFAL;3612885813;4
2021;IFAL;3506946459;4
2021;IFAL;3708137018;4
2021;IFAL;2887219177;3
2021;IFAL;2661805133;3
2021;IFAL;3273782929;4
2021;IFAL;4081073545;5
2021;IFAL;334620836;4
2021;IFAL;3126550894;4
2021;IFAL;2430536858;3
2021;IFAL;3506472556;4
2021;IFAL;2688384493;3
2021;IFAL;3114109;4
2021;IFAL;3490974306;4
2021;IFAL;306536013;4
2021;IFAL;3017890085;4
2021;IFAL;2245888744;3
2021;IFAL;3722787753;4
2021;IFAL;3883235013;4
2021;IFAL;4027566597;5
2021;IFAL;2622672816;3
2021;IFAL;336759351;4
2021;IFAL;2890119389;3
2021;IFAL;2850843609;3
2021;IFAL;3553983939;4
2021;IFAL;3941658713;4
2021;IFAL;2835568588;3
2021;IFAL;2732657196;3
2021;IFAL;3831764174;4
2021;IFAL;293390235;3
2021;IFAL;2988914465;4
2021;IFAL;3291531494;4
2021;IFAL;2492294448;3
2021;IFAL;3307692363;4
2021;IFAL;414065135;5
2021;IFAL;3222894241;4
2021;IFAL;2837679013;3
2021;IFAL;2849209604;3
2021;IFAL;3390293399;4
2021;IFAL;3048186625;4
2021;IFAL;3324683138;4
2021;IFAL;4302484121;5
2021;IFAL;3573005406;4
2021;IFAL;2403153013;3
2021;IFAL;2695885804;3
