Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);Eficiência Acadêmica | Concluídos;Eficiência Acadêmica | Concluídos %;Eficiência Acadêmica | Índice de Eficiência Acadêmica %;Eficiência Acadêmica | Número de Evadidos;Eficiência Acadêmica | Retidos;Eficiência Acadêmica | Retidos %;Eficiência Acadêmica | Taxa de Evasão %
2021;Nordeste;PB;Paraiba;Institutos Federais, Cefet's e Colégio Pedro II;IFPB;Instituto Federal da Paraíba;4110;0,3181853371525896;0,3425285440453371;7889;918;0,0710691336997755;0,6107455291476349
2021;Nordeste;PB;Paraíba;Universidades Federais;UFCG - ETSC;Universidade Federal de Campina Grande;208;0,6887417218543046;0,8221343873517786;45;49;0,16225165562913907;0,1490066225165563
2021;Nordeste;PB;Paraíba;Universidades Federais;UFPB - CAVN;Universidade Federal da Paraíba;1151;0,6051524710830705;0,6077085533262936;743;8;0,004206098843322818;0,39064143007360674
2021;Nordeste;PB;Paraíba;Universidades Federais;UFPB - ETS;Universidade Federal da Paraíba;755;0,7767489711934157;0,8023379383634432;186;31;0,03189300411522634;0,19135802469135801
2021;Nordeste;PE;Pernambuco;Institutos Federais, Cefet's e Colégio Pedro II;IF SERTÃO-PE;Instituto Federal do Sertão Pernambucano;1381;0,3993637941006362;0,4377179080824089;1774;303;0,08762290341237709;0,5130133024869867
2021;Nordeste;PE;Pernambuco;Institutos Federais, Cefet's e Colégio Pedro II;IFPE;Instituto Federal de Pernambuco;3521;0,32638116425658137;0,3901817375886525;5503;1764;0,1635150166852058;0,5101038190582128
2021;Nordeste;PE;Pernambuco;Universidades Federais;UFRPE - CODAI;Universidade Federal Rural de Pernambuco;372;0,4831168831168831;0,5020242914979757;369;29;0,03766233766233766;0,4792207792207792
2021;Nordeste;PI;Piauí;Institutos Federais, Cefet's e Colégio Pedro II;IFPI;Instituto Federal do Piauí;5066;0,4151778396984101;0,45248302965344767;6130;1006;0,082445500737584;0,5023766595640059
2021;Nordeste;PI;Piauí;Universidades Federais;UFPI - CABJ;Universidade Federal do Piauí;57;0,18387096774193548;0,2043010752688172;222;31;0,1;0,7161290322580646
2021;Nordeste;PI;Piauí;Universidades Federais;UFPI - CAT;Universidade Federal do Piauí;113;0,4216417910447761;0,4538152610441767;136;19;0,0708955223880597;0,5074626865671642
