Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);nomeCurso;tipoCurso;tipoEixoTecnologico;SubeixoTecnologico;tipoOferta;turnoCurso;ModalidadeEnsino;nomeFonteFinanciamento;Número de Matrículas;Matrículas | Número de Evadidos;Matrículas | Taxa de Evasão %
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Eventos;Técnico;Turismo, Hospitalidade e Lazer;Eventos;Subsequente;Matutino;Educação Presencial;Sem Programa Associado;394;10;0,025
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Gastronomia;Técnico;Turismo, Hospitalidade e Lazer;Hospitalidade;Subsequente;Vespertino;Educação Presencial;Sem Programa Associado;20;;
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Hospedagem;Técnico;Turismo, Hospitalidade e Lazer;Hospitalidade;Integrado;Matutino;Educação Presencial;Sem Programa Associado;203;3;0,015
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Informática;Técnico;Informação e Comunicação;Informática;Integrado;Integral;Educação Presencial;Sem Programa Associado;265;6;0,023
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Logística;Técnico;Gestão e Negócios;Gestão e Negócios;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;206;5;0,024
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Logística;Técnico;Gestão e Negócios;Gestão e Negócios;Subsequente;Vespertino;Educação Presencial;Sem Programa Associado;40;;
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Manutenção Automotiva;Técnico;Controle e Processos Industriais;Mecânica;Integrado;Integral;Educação Presencial;Sem Programa Associado;245;15;0,061
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Manutenção Automotiva;Técnico;Controle e Processos Industriais;Mecânica;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;299;2;0,007
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Manutenção Automotiva;Técnico;Controle e Processos Industriais;Mecânica;Subsequente;Vespertino;Educação Presencial;Sem Programa Associado;5;;
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Manutenção e Suporte em Informática;Técnico;Informação e Comunicação;Informática;Subsequente;Vespertino;Educação Presencial;Sem Programa Associado;360;4;0,011
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Meio Ambiente;Técnico;Ambiente e Saúde;Meio Ambiente;Integrado;Integral;Educação Presencial;Sem Programa Associado;45;3;0,067
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Meio Ambiente;Técnico;Ambiente e Saúde;Meio Ambiente;Integrado;Vespertino;Educação Presencial;Sem Programa Associado;39;3;0,077
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Meio Ambiente;Técnico;Ambiente e Saúde;Meio Ambiente;PROEJA - Integrado;Noturno;Educação Presencial;Sem Programa Associado;22;;
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Móveis;Técnico;Produção Industrial;Moveleira;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;17;1;0,059
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Panificação;Técnico;Produção Alimentícia;Alimentos;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;65;13;0,2
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Produção de Áudio e Vídeo;Técnico;Produção Cultural e Design;Arte e Cultura;Integrado;Integral;Educação Presencial;Sem Programa Associado;236;9;0,038
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Produção de Áudio e Vídeo;Técnico;Produção Cultural e Design;Arte e Cultura;Integrado;Matutino;Educação Presencial;Sem Programa Associado;91;5;0,055
2021;Centro-Oeste;DF;Distrito Federal;Institutos Federais, Cefet's e Colégio Pedro II;IFB;Instituto Federal de Brasília;Técnico em Produção de Áudio e Vídeo;Técnico;Produção Cultural e Design;Arte e Cultura;Integrado;Vespertino;Educação Presencial;Sem Programa Associado;104;;
