Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);nomeUnidadeRecente;tipoReservaVaga;Vagas Regulares;Vagas Regulares %
2021;Centro-Oeste;MS;Mato Grosso do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IFMS;Instituto Federal do Mato Grosso do Sul;Campus Ponta Porã;Cota;180;0,05745292052345994
2021;Centro-Oeste;MS;Mato Grosso do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IFMS;Instituto Federal do Mato Grosso do Sul;Campus Coxim;Ampla Concorrência;3347;0,9279179373440533
2021;Centro-Oeste;MS;Mato Grosso do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IFMS;Instituto Federal do Mato Grosso do Sul;Campus Naviraí;Ampla Concorrência;2766;0,9518238128011012
2021;Centro-Oeste;MS;Mato Grosso do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IFMS;Instituto Federal do Mato Grosso do Sul;Campus Três Lagoas;Ampla Concorrência;2721;0,9315302978432044
2021;Centro-Oeste;MS;Mato Grosso do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IFMS;Instituto Federal do Mato Grosso do Sul;Campus Ponta Porã;Ampla Concorrência;2953;0,94254707947654
2021;Centro-Oeste;MS;Mato Grosso do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IFMS;Instituto Federal do Mato Grosso do Sul;Campus Nova Andradina;Ampla Concorrência;2304;0,935064935064935
2021;Centro-Oeste;MS;Mato Grosso do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IFMS;Instituto Federal do Mato Grosso do Sul;Campus Dourados;Ampla Concorrência;4470;0,9612903225806452
2021;Centro-Oeste;MS;Mato Grosso do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IFMS;Instituto Federal do Mato Grosso do Sul;Campus Corumbá;Ampla Concorrência;2370;0,9367588932806324
2021;Centro-Oeste;MS;Mato Grosso do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IFMS;Instituto Federal do Mato Grosso do Sul;Campus Aquidauana;Ampla Concorrência;3782;0,9462096572429322
2021;Centro-Oeste;MS;Mato Grosso do Sul;Institutos Federais, Cefet's e Colégio Pedro II;IFMS;Instituto Federal do Mato Grosso do Sul;Campus Jardim;Ampla Concorrência;2084;0,9559633027522936
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Primavera do Leste;Cota;215;0,5375
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Cáceres;Ampla Concorrência;225;0,677710843373494
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Cuiabá;Ampla Concorrência;852;0,5098743267504489
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Juína;Cota;201;0,638095238095238
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Avançado Guarantã do Norte;Cota;46;0,05336426914153132
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Avançado Tangará da Serra;Cota;89;0,5329341317365269
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Barra do Garças;Cota;123;0,34844192634560905
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Pontes e Lacerda;Ampla Concorrência;219;0,48558758314855877
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Cáceres;Cota;107;0,32228915662650603
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Juína;Ampla Concorrência;114;0,3619047619047619
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Avançado Tangará da Serra;Ampla Concorrência;78;0,46706586826347307
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Confresa;Cota;120;0,35714285714285715
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Avançado Lucas do Rio Verde;Cota;63;0,6
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Avançado Guarantã do Norte;Ampla Concorrência;816;0,9466357308584686
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Avançado Diamantino;Ampla Concorrência;41;0,37272727272727274
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Campo Novo do Parecis;Cota;112;0,4375
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Avançado Sinop;Cota;54;0,22594142259414227
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Avançado Lucas do Rio Verde;Ampla Concorrência;42;0,4
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus São Vicente;Ampla Concorrência;191;0,44941176470588234
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus São Vicente;Cota;234;0,5505882352941176
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Várzea Grande;Cota;150;0,5172413793103449
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Primavera do Leste;Ampla Concorrência;185;0,4625
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Pontes e Lacerda;Cota;232;0,5144124168514412
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Alta Floresta;Ampla Concorrência;135;0,44554455445544555
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Campo Novo do Parecis;Ampla Concorrência;144;0,5625
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Cuiabá Bela Vista;Cota;214;0,5544041450777202
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Rondonópolis;Cota;143;0,4525316455696203
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Várzea Grande;Ampla Concorrência;140;0,4827586206896552
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Cuiabá;Cota;819;0,49012567324955114
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Avançado Diamantino;Cota;69;0,6272727272727273
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Barra do Garças;Ampla Concorrência;230;0,6515580736543909
2021;Centro-Oeste;MT;Mato Grosso;Institutos Federais, Cefet's e Colégio Pedro II;IFMT;Instituto Federal do Mato Grosso;Campus Sorriso;Ampla Concorrência;228;0,7972027972027972
