Ano;Sigla;Área de Avaliação;CPC (Faixa)
2019;CPII;TECNOLOGIA EM GESTÃO AMBIENTAL;0
2019;CPII;TECNOLOGIA EM GESTÃO AMBIENTAL;3
2019;CPII;TECNOLOGIA EM GESTÃO AMBIENTAL;4
2019;CPII;TECNOLOGIA EM GESTÃO AMBIENTAL;5
2019;CPII;TECNOLOGIA EM GESTÃO HOSPITALAR;3
2019;CPII;TECNOLOGIA EM GESTÃO HOSPITALAR;4
2019;CPII;TECNOLOGIA EM RADIOLOGIA;3
2019;CPII;TECNOLOGIA EM RADIOLOGIA;4
2019;CPII;TECNOLOGIA EM SEGURANÇA NO TRABALHO;4
2019;CPII;ZOOTECNIA;2
2019;CPII;ZOOTECNIA;3
2019;CPII;ZOOTECNIA;4
2019;CPII;ZOOTECNIA;5
2019;FURG;AGRONOMIA;2
2019;FURG;AGRONOMIA;3
2019;FURG;AGRONOMIA;4
2019;FURG;AGRONOMIA;5
2019;FURG;ARQUITETURA E URBANISMO;3
2019;FURG;ARQUITETURA E URBANISMO;4
2019;FURG;ARQUITETURA E URBANISMO;5
2019;FURG;BIOMEDICINA;3
2019;FURG;BIOMEDICINA;4
2019;FURG;EDUCAÇÃO FÍSICA (BACHARELADO);3
2019;FURG;EDUCAÇÃO FÍSICA (BACHARELADO);4
2019;FURG;ENFERMAGEM;0
2019;FURG;ENFERMAGEM;3
2019;FURG;ENFERMAGEM;4
2019;FURG;ENFERMAGEM;5
2019;FURG;ENGENHARIA AMBIENTAL;0
2019;FURG;ENGENHARIA AMBIENTAL;3
2019;FURG;ENGENHARIA AMBIENTAL;4
2019;FURG;ENGENHARIA AMBIENTAL;5
2019;FURG;ENGENHARIA CIVIL;3
2019;FURG;ENGENHARIA CIVIL;4
2019;FURG;ENGENHARIA CIVIL;5
2019;FURG;ENGENHARIA DA COMPUTAÇÃO;3
2019;FURG;ENGENHARIA DA COMPUTAÇÃO;4
2019;FURG;ENGENHARIA DA COMPUTAÇÃO;5
2019;FURG;ENGENHARIA DE ALIMENTOS;3
2019;FURG;ENGENHARIA DE ALIMENTOS;4
2019;FURG;ENGENHARIA DE ALIMENTOS;5
2019;FURG;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;0
2019;FURG;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;3
2019;FURG;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;4
2019;FURG;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;5
2019;FURG;ENGENHARIA DE PRODUÇÃO;3
2019;FURG;ENGENHARIA DE PRODUÇÃO;4
2019;FURG;ENGENHARIA DE PRODUÇÃO;5
2019;FURG;ENGENHARIA ELÉTRICA;0
2019;FURG;ENGENHARIA ELÉTRICA;3
2019;FURG;ENGENHARIA ELÉTRICA;4
2019;FURG;ENGENHARIA ELÉTRICA;5
2019;FURG;ENGENHARIA FLORESTAL;2
2019;FURG;ENGENHARIA FLORESTAL;3
2019;FURG;ENGENHARIA FLORESTAL;4
2019;FURG;ENGENHARIA FLORESTAL;5
2019;FURG;ENGENHARIA MECÂNICA;2
2019;FURG;ENGENHARIA MECÂNICA;3
2019;FURG;ENGENHARIA MECÂNICA;4
2019;FURG;ENGENHARIA MECÂNICA;5
2019;FURG;ENGENHARIA QUÍMICA;3
2019;FURG;ENGENHARIA QUÍMICA;4
2019;FURG;ENGENHARIA QUÍMICA;5
2019;FURG;FARMÁCIA;3
2019;FURG;FARMÁCIA;4
2019;FURG;FISIOTERAPIA;3
2019;FURG;FISIOTERAPIA;4
2019;FURG;FISIOTERAPIA;5
2019;FURG;FONOAUDIOLOGIA;3
2019;FURG;FONOAUDIOLOGIA;4
2019;FURG;MEDICINA;2
2019;FURG;MEDICINA;3
2019;FURG;MEDICINA;4
2019;FURG;MEDICINA VETERINÁRIA;2
2019;FURG;MEDICINA VETERINÁRIA;3
2019;FURG;MEDICINA VETERINÁRIA;4
2019;FURG;MEDICINA VETERINÁRIA;5
2019;FURG;NUTRIÇÃO;3
2019;FURG;NUTRIÇÃO;4
2019;FURG;NUTRIÇÃO;5
2019;FURG;ODONTOLOGIA;3
2019;FURG;ODONTOLOGIA;4
2019;FURG;ODONTOLOGIA;5
2019;FURG;TECNOLOGIA EM AGRONEGÓCIOS;3
2019;FURG;TECNOLOGIA EM AGRONEGÓCIOS;4
2019;FURG;TECNOLOGIA EM GESTÃO AMBIENTAL;0
2019;FURG;TECNOLOGIA EM GESTÃO AMBIENTAL;3
2019;FURG;TECNOLOGIA EM GESTÃO AMBIENTAL;4
2019;FURG;TECNOLOGIA EM GESTÃO AMBIENTAL;5
2019;FURG;TECNOLOGIA EM GESTÃO HOSPITALAR;3
2019;FURG;TECNOLOGIA EM GESTÃO HOSPITALAR;4
2019;FURG;TECNOLOGIA EM RADIOLOGIA;3
2019;FURG;TECNOLOGIA EM RADIOLOGIA;4
2019;FURG;TECNOLOGIA EM SEGURANÇA NO TRABALHO;4
2019;FURG;ZOOTECNIA;2
2019;FURG;ZOOTECNIA;3
2019;FURG;ZOOTECNIA;4
2019;FURG;ZOOTECNIA;5
2019;IF FARROUPILHA;AGRONOMIA;2
