Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);Eficiência Acadêmica | Concluídos;Eficiência Acadêmica | Concluídos %;Eficiência Acadêmica | Índice de Eficiência Acadêmica %;Eficiência Acadêmica | Número de Evadidos;Eficiência Acadêmica | Retidos;Eficiência Acadêmica | Retidos %;Eficiência Acadêmica | Taxa de Evasão %
2020;Nordeste;RN;Rio Grande do Norte;Institutos Federais, Cefet's e Colégio Pedro II;IFRN;Instituto Federal do Rio Grande do Norte;11696;0,6041322314049586;0,6411226223757057;6547;1117;0,05769628099173554;0,3381714876033058
2020;Nordeste;RN;Rio Grande do Norte;Universidades Federais;ESUFRN;Universidade Federal do Rio Grande do Norte;245;0,6568364611260054;0,6940509915014165;108;20;0,05361930294906166;0,289544235924933
2020;Nordeste;RN;Rio Grande do Norte;Universidades Federais;UFRN - EAJ;Universidade Federal do Rio Grande do Norte;298;0,680365296803653;0,6995305164319249;128;12;0,0273972602739726;0,2922374429223744
2020;Nordeste;RN;Rio Grande do Norte;Universidades Federais;UFRN - MÚSICA;Universidade Federal do Rio Grande do Norte;25;0,26881720430107525;0,4807692307692307;27;41;0,44086021505376344;0,2903225806451613
2020;Nordeste;SE;Sergipe;Institutos Federais, Cefet's e Colégio Pedro II;IFS;Instituto Federal de Sergipe;913;0,27205005959475564;0,32330028328611893;1911;532;0,15852205005959474;0,5694278903456496
2020;Norte;AC;Acre;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;943;0,37140606538007087;0,41799645390070916;1313;283;0,1114612051988972;0,517132729421032
2020;Norte;AM;Amazonas;Institutos Federais, Cefet's e Colégio Pedro II;IFAM;Instituto Federal do Amazonas;2254;0,36668293476492597;0,5379474940334129;1936;1957;0,31836668293476494;0,3149503823003091
2020;Norte;AP;Amapá;Institutos Federais, Cefet's e Colégio Pedro II;IFAP;Instituto Federal do Amapá;1124;0,41232575201760824;0,48573898012100264;1190;412;0,15113719735876743;0,43653705062362436
2020;Norte;PA;Pará;Institutos Federais, Cefet's e Colégio Pedro II;IFPA;Instituto Federal do Pará;2394;0,4239419160616256;0,48737785016286644;2518;735;0,13015760580839383;0,4459004781299805
2020;Norte;PA;Pará;Universidades Federais;EMUFPA;Universidade Federal do Pará;61;0,4066666666666667;0,9384615384615385;4;85;0,5666666666666667;0,02666666666666667
2020;Norte;PA;Pará;Universidades Federais;ETDUFPA;Universidade Federal do Pará;81;0,49390243902439024;0,5364238410596026;70;13;0,07926829268292683;0,4268292682926829
2020;Norte;RO;Rondônia;Institutos Federais, Cefet's e Colégio Pedro II;IFRO;Instituto Federal de Rondônia;3503;0,41563834836260083;0,5205825531282509;3226;1699;0,20158993830090174;0,3827717133364974
2020;Norte;RR;Roraima;Institutos Federais, Cefet's e Colégio Pedro II;IFRR;Instituto Federal de Roraima;1249;0,572673085740486;0,6304896516910652;732;200;0,09170105456212746;0,3356258596973865
2020;Norte;RR;Roraima;Universidades Federais;UFRR - EAGRO;Universidade Federal de Roraima;62;0,5;0,6019417475728155;41;21;0,1693548387096774;0,33064516129032256
